target_icd,rank,prs_icd,auc
H40,7,K57,0.5112328609249879
H40,8,I69,0.5103230019592458
H40,9,I25,0.5101358024294401
H40,10,E21,0.5100043748657604
I10,1,I10,0.6036411484440909
I10,2,I71,0.5565215643251045
I10,3,E11,0.5453256843758508
I10,4,I48,0.5418877700344726
I10,5,I20,0.5408992279456756
I10,6,I25,0.5408298657964136
I10,7,E66,0.5398984595222418
I10,8,I50,0.5350574096871386
I10,9,I21,0.5349294405381927
I10,10,I70,0.5337879567898279
I12,1,I10,0.5562027180515796
I12,2,E11,0.5450844149359739
I12,3,I25,0.537823009694136
I12,4,I21,0.5352263342411685
I12,5,I71,0.5337322568688599
I12,6,I20,0.5335982645636278
I12,7,I48,0.5329569683498531
I12,8,I70,0.5283920970958826
I12,9,E66,0.5279575312149646
I12,10,N18,0.5276964135739702
I20,1,I25,0.5894639420737375
I20,2,I20,0.5876621950733019
I20,3,I21,0.5817036505479029
I20,4,I10,0.5646752058358938
I20,5,I71,0.5602565551972949
I20,6,E78,0.5557764636734508
I20,7,I70,0.547831085236102
I20,8,E11,0.5436145829020522
I20,9,E66,0.5375755354652149
I20,10,M51,0.5364201126056123
I21,1,I25,0.6020642033278062
I21,2,I21,0.5977327998317563
I21,3,I20,0.5971108200268305
I21,4,I71,0.5597950904194129
I21,5,I10,0.559789375972439
I21,6,E78,0.5594305291379202
I21,7,I70,0.5481420406082289
I21,8,E11,0.5388035990467037
I21,9,I72,0.5341294303993199
I21,10,I48,0.5312244538007121
I25,1,I25,0.5931187634821443
I25,2,I20,0.5901308706204424
