prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Middle 10%,40-45,3616,6,0.00165929203539823,D21
Middle 10%,45-50,4951,16,0.0032316703696222983,D21
Middle 10%,50-55,5876,11,0.0018720217835262083,D21
Middle 10%,55-60,7368,22,0.002985884907709012,D21
Middle 10%,60-65,10525,26,0.002470308788598575,D21
Middle 10%,65-70,8654,14,0.0016177490177952392,D21
Middle 10%,70-75,224,0,0,D21
Top 10%,35-40,1,0,0,D21
Top 10%,40-45,3846,13,0.0033801352054082163,D21
Top 10%,45-50,5089,12,0.002358027117311849,D21
Top 10%,50-55,5958,17,0.002853306478684122,D21
Top 10%,55-60,7570,15,0.0019815059445178335,D21
Top 10%,60-65,10355,23,0.0022211492032834378,D21
Top 10%,65-70,8174,22,0.0026914607291411794,D21
Top 10%,70-75,221,2,0.00904977375565611,D21
Bottom 10%,40-45,3726,69,0.018518518518518517,D22
Bottom 10%,45-50,4929,68,0.013795901805640089,D22
Bottom 10%,50-55,5884,92,0.01563562202583277,D22
Bottom 10%,55-60,7430,72,0.009690444145356662,D22
Bottom 10%,60-65,10504,121,0.01151942117288652,D22
Bottom 10%,65-70,8524,81,0.009502580947911779,D22
Bottom 10%,70-75,217,2,0.009216589861751152,D22
Middle 10%,35-40,3,0,0,D22
Middle 10%,40-45,3531,82,0.02322288303596715,D22
Middle 10%,45-50,4937,94,0.019039902774964552,D22
Middle 10%,50-55,5863,113,0.019273409517311955,D22
Middle 10%,55-60,7411,127,0.0171366887059776,D22
Middle 10%,60-65,10573,174,0.01645701314669441,D22
Middle 10%,65-70,8661,128,0.014778893892160258,D22
Middle 10%,70-75,234,6,0.02564102564102564,D22
Top 10%,40-45,3536,120,0.033936651583710405,D22
Top 10%,45-50,4723,144,0.030489095913614227,D22
Top 10%,50-55,5826,139,0.02385856505320975,D22
Top 10%,55-60,7554,191,0.025284617421233783,D22
Top 10%,60-65,10641,241,0.022648247345174326,D22
Top 10%,65-70,8716,170,0.01950435979807251,D22
Top 10%,70-75,221,7,0.03167420814479638,D22
Bottom 10%,40-45,3726,45,0.012077294685990338,D23
Bottom 10%,45-50,4929,61,0.012375735443294785,D23
Bottom 10%,50-55,5884,84,0.014276002719238613,D23
Bottom 10%,55-60,7430,87,0.0117092866756393,D23
Bottom 10%,60-65,10504,149,0.014185072353389186,D23
Bottom 10%,65-70,8524,114,0.01337400281557954,D23
Bottom 10%,70-75,217,4,0.018433179723502304,D23
Middle 10%,35-40,3,0,0,D23
Middle 10%,40-45,3531,42,0.0118946474086661,D23
Middle 10%,45-50,4937,63,0.01276078590236986,D23
Middle 10%,50-55,5863,83,0.01415657513218489,D23
Middle 10%,55-60,7411,97,0.013088652003778168,D23
Middle 10%,60-65,10573,168,0.01588952993473943,D23
Middle 10%,65-70,8661,131,0.015125274217757764,D23
Middle 10%,70-75,234,2,0.008547008547008548,D23
Top 10%,40-45,3536,49,0.013857466063348416,D23
Top 10%,45-50,4723,69,0.014609358458606819,D23
Top 10%,50-55,5826,107,0.018365945760384483,D23
