target_icd,rank,prs_icd,auc,method
I25,4,I71,0.5579870758782525,LDpred2
I25,5,I10,0.5557825384104843,LDpred2
I25,6,E78,0.5518326603828955,LDpred2
I25,7,I70,0.547765262537881,LDpred2
I25,8,E11,0.5448624983925312,LDpred2
I25,9,M79,0.5401716263496522,LDpred2
I25,10,E66,0.5400416305166673,LDpred2
I26,1,I26,0.596768340355688,LDpred2
I26,2,I82,0.584014959491507,LDpred2
I26,3,I80,0.5823997778178831,LDpred2
I26,4,E66,0.5446199852795399,LDpred2
I26,5,M79,0.5361539314726306,LDpred2
I26,6,M17,0.5329509365082007,LDpred2
I26,7,M94,0.530208679956431,LDpred2
I26,8,I71,0.5298479584913852,LDpred2
I26,9,I87,0.5275968930914312,LDpred2
I26,10,I50,0.5271807466682609,LDpred2
I27,1,E66,0.5568364775463767,LDpred2
I27,2,I50,0.5465627275961563,LDpred2
I27,3,I71,0.545250113419913,LDpred2
I27,4,M17,0.5432388075806762,LDpred2
I27,5,I10,0.5409048534434027,LDpred2
I27,6,M79,0.5382730506907004,LDpred2
I27,7,G56,0.5356638139475974,LDpred2
I27,8,I48,0.5351281329016365,LDpred2
I27,9,E11,0.5348850648616248,LDpred2
I27,10,I70,0.5327209472648756,LDpred2
I42,1,I50,0.5438584100468032,LDpred2
I42,2,I10,0.5400494411621203,LDpred2
I42,3,I71,0.5396439364672915,LDpred2
I42,4,E66,0.534945860128725,LDpred2
I42,5,I48,0.5345655516105269,LDpred2
I42,6,I42,0.534281638809445,LDpred2
I42,7,M79,0.5324332710537281,LDpred2
I42,8,I49,0.5297648788442928,LDpred2
I42,9,E11,0.5295016133923827,LDpred2
I42,10,I11,0.5277620037488336,LDpred2
I48,1,I48,0.6018494663278416,LDpred2
I48,2,I49,0.5606513977724469,LDpred2
I48,3,I47,0.551823407490899,LDpred2
I48,4,I50,0.5506868424986708,LDpred2
I48,5,I71,0.5439052338219988,LDpred2
I48,6,I42,0.5410669360648966,LDpred2
I48,7,I10,0.540313143448058,LDpred2
I48,8,I11,0.5358828665731175,LDpred2
I48,9,E66,0.5350914731218582,LDpred2
I48,10,M79,0.5329169463067052,LDpred2
I50,1,E66,0.5658520050915503,LDpred2
I50,2,I10,0.5614245219982779,LDpred2
I50,3,I50,0.5575235411759177,LDpred2
I50,4,E11,0.5530451065880465,LDpred2
I50,5,I71,0.553003449151159,LDpred2
I50,6,M79,0.5462787702653817,LDpred2
I50,7,I11,0.5436941428288514,LDpred2
I50,8,M51,0.5426539373984022,LDpred2
