icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
H92,8915,0.5262632614483982,0.5302731320809914,0.5314924666992908,0.5296526541221683,0.4959712565085172,0.5345344486356277,Otalgia and effusion of ear
K75,2856,0.5689992501304444,0.5690484443439786,0.5707045370305844,0.5707045370305844,0.4548782408508667,0.5640844766859496,Other inflammatory liver diseases
O02,697,0.4972538946608069,0.5049622811568274,0.520722313153592,0.5179987758110057,0.4686838551813537,0.560408171471728,Other abnormal products of conception
H50,2267,0.4949557540514556,0.4843555658761654,0.4985965821603498,0.4980834611015429,0.4948781402511709,0.5291890992073545,Other strabismus
M79,65655,0.5485217261017631,0.5507971343017642,0.5502775881235143,0.5502125004707363,0.4867311427194316,0.5412647804038548,"Oth and unsp soft tissue disorders, not elsewhere classified"
K50,2032,0.5933166403057852,0.611662229678268,0.6049035715626235,0.6060267795389225,0.5692564607602609,0.5922324420395475,Crohn's disease [regional enteritis]
M13,2830,0.5407634378123064,0.5450516801825597,0.5453537572436705,0.5453537572436705,0.5225118320693812,0.5399085876685319,Other arthritis
N41,1466,0.5615895068404752,0.5677650726602929,0.5728503486829991,0.5718743323589975,0.5888512148476838,0.588660549980503,Inflammatory diseases of prostate
J00,1778,0.524184287417073,0.5277355786220145,0.5207759036357945,0.5204422260681627,0.4942764296553575,0.5427066021309165,Acute nasopharyngitis [common cold]
K44,11609,0.5517418940119782,0.5446212970770129,0.5544899090557569,0.5545214635347575,0.5153793018688589,0.5453678743603003,Diaphragmatic hernia
B34,7586,0.5262674021870349,0.5315406922081221,0.538247933553163,0.537673759053826,0.4785428860791859,0.5378762787005329,Viral infection of unspecified site
D16,548,0.5176336408872556,0.5118276748026961,0.5092024543915129,0.5097218041904734,0.5060801703957236,0.5556857540695099,Benign neoplasm of bone and articular cartilage
K30,2043,0.5202380362728083,0.5247056897842265,0.5224751297945321,0.5218444748205857,0.5235292778918823,0.5256132586378198,Functional dyspepsia
M70,10334,0.5499228926117284,0.5414837642330486,0.554107521934707,0.5537708746081462,0.4919815072719285,0.5418912149188786,"Soft tissue disorders related to use, overuse and pressure"
H54,3620,0.505647916998197,0.5285555294584785,0.529227082575176,0.525020409531356,0.4968678217145938,0.5295789295510991,Blindness and low vision
I87,8075,0.5577669115790848,0.5494047310158927,0.5604840808669942,0.5604907548164195,0.4700165937308834,0.5524282635017458,Other disorders of veins
F17,17809,0.5607653440362552,0.5691326741454616,0.5620941867806256,0.5621573932630965,0.4822596449626106,0.5443426142847756,Nicotine dependence
K35,1142,0.5502329361592093,0.5628247536878407,0.5571762104917475,0.5553251355216408,0.5263095360291662,0.5614954111231517,Acute appendicitis
N89,9304,0.5073361697000011,0.5211430122914499,0.5186783498127688,0.5185619478148336,0.486589039634705,0.5264656194604685,Other noninflammatory disorders of vagina
K52,12580,0.528630009525666,0.525904482915838,0.5298074194174472,0.5298074194174472,0.4870108555154266,0.5252255313438822,Other and unsp noninfective gastroenteritis and colitis
Q61,876,0.5031053749537793,0.4867768262478924,0.5047391489258601,0.5064906012140676,0.5094256179860825,0.5471585720685698,Cystic kidney disease
S42,3060,0.5432352756848458,0.5576599710339271,0.549156983898481,0.5494260657107274,0.5201582236734819,0.5391238181513935,Fracture of shoulder and upper arm
J06,26875,0.5295603400170675,0.5162157010201058,0.5351763050966976,0.5353463715414266,0.499504535558728,0.5307106356149607,Acute upper resp infections of multiple and unsp sites
N76,6427,0.5093550645528899,0.512162611482704,0.5132568761979279,0.5163749785690316,0.5010523756494634,0.5335063994732547,Other inflammation of vagina and vulva
H47,3496,0.5254354652995051,0.5224887206745691,0.5288856946097273,0.5235914869257846,0.5040660360968607,0.5340095378510841,Other disorders of optic [2nd] nerve and visual pathways
K65,1302,0.5236748152216589,0.5155633175390288,0.5203575030491433,0.5204818128348636,0.4945441206605793,0.5336540156242701,Peritonitis
K62,13968,0.525839086477793,0.5228350797552688,0.5339308045434829,0.5342390557326228,0.5169756337916032,0.5287043686803813,Other diseases of anus and rectum
J84,3684,0.5577080120497134,0.5656446913761473,0.561788012789218,0.5615804945307048,0.5458973297337874,0.5602519438327906,Other interstitial pulmonary diseases
H35,12037,0.5406332446182085,0.5559936668203161,0.5427948271374399,0.5411958561280895,0.5340358496625099,0.5390518113826901,Other retinal disorders
K13,4898,0.509729281795428,0.5036290963766401,0.5092582504698683,0.5094030108737525,0.4963064034187551,0.5157423875682314,Other diseases of lip and oral mucosa
N40,15697,0.5720387047747165,0.5748515158513055,0.5858249337220777,0.5854524135574504,0.5644362580264703,0.5860611089302435,Benign prostatic hyperplasia
G54,1533,0.540539603932925,0.5316332665008453,0.5540661947640786,0.5521489951088554,0.5484155195392916,0.5506729075364832,Nerve root and plexus disorders
